district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Pathum Wan,1742313600,13.7445,100.5342,304.05,309.07,1012,65,38,3.82,162,Clouds,scattered clouds,82.18
Pom Prap Sattru Phai,1741924800,13.7504,100.5097,306.98,311.85,1012,52,100,3.68,187,Clouds,overcast clouds,49.73
Phra Khanong,1742194800,13.7088,100.6022,307.88,312.1,1009,47,100,5.83,190,Clouds,overcast clouds,34.67
Phaya Thai,1742090400,13.7719,100.5385,304.43,311.43,1012,85,90,3.44,193,Clouds,overcast clouds,36.94
Taling Chan,1742065200,13.7702,100.4429,301.13,305.67,1009,83,20,2.57,190,Clouds,few clouds,16.87
Bang Khun Thian,1741906800,13.6703,100.4578,300.95,304.07,1010,75,84,2.68,191,Clouds,broken clouds,5.35
Phasi Charoen,1742223600,13.7214,100.4357,304.78,310.25,1012,63,9,5.16,187,Clear,clear sky,33.08
Rat Burana,1742238000,13.6865,100.4925,304.21,309.73,1011,66,27,3.01,190,Clouds,scattered clouds,34.98
Din Daeng,1742158800,13.7663,100.5562,303.35,308.18,1008,68,12,3.68,172,Clouds,few clouds,58.82
Prawet,1741986000,13.7196,100.6698,301.98,308.98,1009,89,20,4.12,200,Clouds,few clouds,32.63
Khlong Toei,1741885200,13.7126,100.5582,301.91,305.19,1010,69,41,4.69,196,Clouds,scattered clouds,51.04
Suan Luang,1742090400,13.7212,100.6406,303.99,307.9,1012,61,91,3.75,195,Clouds,overcast clouds,73.12
Chom Thong,1742004000,13.6853,100.4674,306.16,310.99,1012,55,32,4.29,183,Clouds,scattered clouds,7.88
Chom Thong,1742338800,13.6853,100.4674,301.99,302.84,1014,52,64,3.98,80,Clouds,broken clouds,100.6
Don Mueang,1742191200,13.9125,100.5989,308.13,315.13,1009,54,20,4.12,130,Rain,light rain,58.13
Don Mueang,1742198400,13.9125,100.5989,307.59,313.26,1008,52,40,3.09,160,Clouds,scattered clouds,66.62
Ratchathewi,1742086800,13.7547,100.5342,303.7,310.7,1011,93,80,3.48,181,Clouds,broken clouds,32.44
Watthana,1742058000,13.7369,100.5847,302.1,305.95,1010,71,75,4.71,189,Clouds,broken clouds,33.55
Wang Thonglang,1741849200,13.7889,100.612,308.49,315.49,1007,56,57,5.07,190,Clouds,broken clouds,31.87
Phra Nakhon,1742364000,13.7563,100.5018,308.52,311.39,1014,41,25,4.28,70,Clouds,scattered clouds,92.49
Dusit,1742140800,13.7842,100.5117,303.09,307.81,1010,69,35,4.72,190,Clouds,scattered clouds,60.1
Dusit,1742158800,13.7842,100.5117,303.35,308.18,1008,68,12,3.68,172,Clouds,few clouds,58.82
Bang Rak,1742180400,13.7259,100.5283,306.03,313.03,1012,67,11,3.96,145,Clouds,few clouds,65.35
Bang Khen,1742162400,13.8644,100.5843,301.05,305.15,1009,81,20,2.57,100,Clouds,few clouds,85.67
Phra Khanong,1741892400,13.7088,100.6022,301.36,304.67,1009,73,20,4.16,192,Clouds,few clouds,57.47
Min Buri,1742234400,13.8053,100.755,302.13,307.62,1011,79,75,4.63,190,Clouds,broken clouds,110.22
